"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","TYPE_OF_CARRIER","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2007062811","99","3","4401 WEST 21ST STREET","","TULSA","OK","74107","BRAND SCAFFOLD AND ERECTION","4127713779","054001","","","","","N","","","","","","N","","","","","","","","2","00317016","04"
"2007122632","99","7","CITY COUNTY BUILDING","","PITTSBURGH","PA","15219","CITY OF PITTSBURGH","4122552773","647400","","","","","N","","","","","","","","","","","","","","1","","99"
"2007099419","02","8","345 SIXTH AVE","3RD FLOOR","PITTSBURGH","PA","15222","PORT AUTHORITY OF ALLEGHEN CO.","4124422000","","","","","","N","","","","","","","","A-00976060","","","","","","1","","11"
"2007117860","02","8","345 6TH AVE","","PITTSBURGH","PA","152222527","PORT AUTH OF ALLEG. CO","4124422000","","","","","","N","","","","","","N","","A-00976060","","","","","","2","","11"
"2007061331","99","1","3343 COLISEUM BLVD","","FT WAYNE","IN","46808","UPS GROUND FREIGHT DBA UPS FREIG","8002259628","054000","","","","","N","","","","","","U","","","","","","","","2","00121058","08"
"2007010114","02","1","835 HERRON AVE","","PITTSBURGH","PA","15219","MAESTRO ICE","4126814423","025990","","","","","N","","","","","","N","","","","","","","","1","01453438","03"
"2007087069","02","1","199 PURITY RD","","PITTSBURGH","PA","15235","STORAGE INC","7247441081","019000","","","","","N","","","","","","N","","","","","","","","1","00242182","03"
"2007078654","02","1","101 SURREY ST","","MONESSEN","PA","15062","ZILKA AND COMPANY","7246847231","033000","","","","","N","","","","","","N","","","","","","","","1","00816137","03"
"2007090505","99","99","88 SWINEBURN","","PITTSBURGH","PA","15207","CITY OF PGH","4122550846","","","","","","N","","","","","","N","","","","","","","","2","","99"
"2007102660","99","1","UNK","","UNK","ZZ","","UNK","","","","","","","N","","","","","000000UNK","U","","UNK","","","","","","1","00000UNK","08"
"2007003419","02","1","3275 ROUTE 151 W.","","ALIQUIPPA","PA","15001","ALDO'S FROZEN FOODS INC.","7243787535","025500","","","","","N","","","","","","U","","","","","","","","1","01031772","03"
"2008000638","04","0","1136 WESTERN AV","","PITTSBURGH","PA","15212","UNITED POSTAL SERVICE","4123597848","","","","","","N","","","","","","U","","","","","","","","1","","06"
"2007077993","05","1","3930 NEW ROAD","","YOUNGSTOWN","OH","44515","CARL SCHUMAKER","0033079717","800000","","","","","N","","","","","","N","","","","","","","","2","00002304","06"
"2007074387","05","1","6150 JUNCTION ROAD","","BRIDGEPORT","MI","487229404","LEACH TRUCKING","9896529938","080000","","","","","N","","","","","","N","","A-00306720","","","","","","1","00071992","08"
"2007100931","05","1","1350 SOUTH JEFFERSON ST","","HUNTINGTON","IN","46750","HINER TRANSPORT","8008605055","080000","","","","","N","","","","","","N","","","","","","","","2","00125430","08"
"2007079166","02","4","1324 CATHELL ROAD","","PITTSBURGH","PA","15236","BALDWIN ASPHALT PAVING INC","4124613617","033000","","","","","N","","","","","000000000","U","","","","","","","","2","00000000","06"
"2008035024","99","99","1306 MAIN ST INDSTRL PK","","CRESCENT","PA","15046","IRON CITY EXPRESS, INC","9999999999","999999","","","","","N","","","","","","N","","","","","","","","2","99999999","99"
"2007041238","03","4","17TH @ ARSENAL BLVD","","HARRISBURG","PA","17120","PENNDOT","4127813260","058400","","","","","N","","","","","","N","","","","","","","","3","09999999","98"
"2007078080","03","3","5250 OLD MAUMEE ROAD","","FT WAYNE","IN","46803","PENSKE TRUCKS","3303289916","540000","","","","","N","","","","","","N","","","","","","","","2","00305172","04"
