"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2018048387","N","N","U","Y","Y","Y","1","Y","Y","00750","N","","","","","","","","N","2"
"2018058511","U","U","U","U","U","U","9","U","U","01584","Y","U","U","U","U","9","U","U","N","1"
"2018078953","","","","","","","","","","","","","","","","","","","","1"
"2018088093","N","N","N","U","N","U","0","Y","N","00600","N","","","","","","","","N","1"
"2018077624","N","N","N","Y","Y","Y","1","Y","N","00600","N","","","","","","","","N","1"
"2018078492","Y","N","Y","N","N","N","0","Y","N","00883","N","","","","","","","","N","1"
"2018019509","","","","","","","","","","","","","","","","","","","","2"
"2018095594","","","","","","","","","","","","","","","","","","","","1"
"2018007156","","","","","","","","","","","","","","","","","","","","1"
"2018011305","N","N","U","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","1"
"2018111068","N","Y","N","Y","","","0","Y","Y","00750","N","","","","","","","","N","1"
"2018055288","U","","U","","","","","","","00599","N","","","","","","","","N","2"
"2018110153","","","","","","","","","","","","","","","","","","","","2"
"2018056793","Y","Y","N","U","N","U","0","Y","N","01584","N","","","","","","","","N","1"
"2018048108","U","U","U","U","U","U","9","U","U","01584","N","","","","","","","","U","2"
"2018052073","N","U","U","U","U","U","9","U","U","00750","N","","","","","","","","N","2"
"2018102531","N","N","U","Y","Y","Y","1","Y","Y","01079","N","","","","","","","","N","1"
"2018060923","Y","U","U","Y","U","N","1","Y","N","00650","N","","","","","","","","N","1"
"2018082346","","","","","","","","","","","","","","","","","","","","2"
"2018098925","Y","U","U","Y","Y","Y","3","Y","N","01500","N","","","","","","","","N","2"
"2018073491","N","Y","Y","Y","Y","Y","1","Y","N","01203","N","","","","","","","","N","2"
"2018048331","N","Y","Y","Y","U","Y","1","Y","Y","01300","Y","U","Y","U","Y","1","Y","Y","N","1"
"2018101564","Y","U","U","U","N","N","0","Y","Y","01100","N","","","","","","","","N","1"
"2018062236","","","","","","","","","","","","","","","","","","","","2"
"2018091596","N","Y","N","Y","U","Y","1","Y","Y","01100","N","","","","","","","","N","1"
"2018056436","Y","Y","U","U","U","U","9","Y","U","01450","N","","","","","","","","N","1"
"2018049611","Y","Y","Y","Y","Y","Y","3","Y","N","01350","N","","","","","","","","N","1"
"2018106463","N","Y","N","Y","U","N","1","Y","N","99999","N","","","","","","","","N","1"
"2018050056","Y","N","Y","Y","Y","Y","3","Y","Y","01584","N","","","","","","","","N","2"
"2018072320","Y","U","Y","N","N","N","0","Y","U","99999","Y","U","N","N","N","0","Y","N","N","1"
"2018122483","N","Y","Y","Y","Y","Y","1","Y","Y","00999","N","","","","","","","","N","1"
"2018067045","N","U","U","N","U","U","9","U","U","01819","N","","","","","","","","N","2"
"2018100732","N","U","U","U","N","N","0","Y","U","01100","Y","U","U","N","N","0","Y","U","N","1"
"2018092431","Y","Y","U","N","N","N","0","Y","N","01507","N","","","","","","","","N","1"
"2018064273","N","N","Y","Y","U","U","1","N","N","00540","N","","","","","","","","N","1"
"2018069421","U","U","N","N","N","N","0","U","U","00600","N","","","","","","","","N","3"
"2018066593","","","","","","","","","","","","","","","","","","","","1"
"2018066593","N","U","U","N","U","U","9","U","U","01300","N","","","","","","","","N","2"
"2018088531","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2018130467","N","U","N","U","N","N","0","Y","U","00883","N","","","","","","","","N","1"
"2018031282","","","","","","","","","","","","","","","","","","","","2"
"2018105026","Y","Y","U","Y","Y","Y","2","Y","Y","01200","N","","","","","","","","N","1"
"2018069713","N","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","1"
"2018071857","N","Y","U","Y","Y","Y","3","Y","Y","01690","N","","","","","","","","N","2"
"2018086284","N","Y","Y","Y","Y","Y","1","Y","Y","00800","N","","","","","","","","N","1"
"2018026016","Y","Y","U","Y","Y","Y","1","Y","Y","01690","N","","","","","","","","N","1"
"2018085629","","","","","","","","","","","","","","","","","","","","2"
"2018077179","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","2"
"2018077179","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","3"
"2018046711","N","U","N","N","N","N","0","Y","Y","00000","N","","","","","","","","N","1"
"2018026453","N","U","U","U","U","N","1","Y","Y","00675","N","","","","","","","","N","1"
"2018070390","Y","Y","Y","N","N","N","0","Y","N","01200","N","","","","","","","","N","1"
"2018067685","","","","","","","","","","","","","","","","","","","","1"
"2018067563","N","N","N","Y","Y","Y","1","Y","N","00600","N","","","","","","","","N","1"
"2018086389","N","U","Y","Y","U","Y","1","Y","N","00300","N","","","","","","","","N","1"
"2018085049","Y","U","U","Y","U","Y","1","Y","Y","00800","N","","","","","","","","N","1"
"2018044128","U","N","Y","N","N","N","0","Y","N","01450","N","","","","","","","","N","2"
"2018064437","U","U","N","N","N","N","0","U","U","01200","N","","","","","","","","N","1"
"2018042477","","","","","","","","","","","","","","","","","","","","2"
"2018058420","N","N","U","Y","U","Y","1","N","Y","00636","N","","","","","","","","N","1"
"2018049451","","","","","","","","","","","","","","","","","","","","2"
"2018059401","","","","","","","","","","","","","","","","","","","","1"
"2018056992","N","U","U","Y","U","Y","1","Y","N","00600","N","","","","","","","","N","1"
"2018096025","Y","Y","Y","Y","Y","Y","1","Y","Y","01690","N","","","","","","","","N","1"
"2018047920","N","Y","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2018106267","N","N","U","Y","N","N","0","Y","N","01690","N","","","","","","","","N","2"
"2018054282","U","U","Y","Y","N","N","0","U","U","01584","N","","","","","","","","N","1"
"2018093870","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","2"
"2018096454","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","2"
"2018057731","U","U","U","Y","U","U","9","Y","N","15000","U","","","","","","","","N","1"
"2018057980","Y","U","Y","Y","U","Y","1","Y","Y","00745","N","","","","","","","","N","1"
"2018021959","","","","","","","","","","00636","","","","","","","","","","3"
"2018067847","N","U","U","Y","U","U","9","Y","U","01100","N","","","","","","","","N","1"
