"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","TYPE_OF_CARRIER","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2006085554","02","6","1301","2ND FL","PITTSBURGH","PA","15233","THE YELLOW CAB CO OF PGH","4123218100","","","","","","N","","","","","","N","","A-00049926","","","","","","3","","00"
"2006119888","02","99","1391 DUNCAN AVENUE","","PITTSBURGH","PA","15237","PEEBLES VOLUNTEER FIRE COMPANY","4123642112","042980","","","","","N","","","","","","N","","","","","","","","1","","03"
"2006077287","05","1","1500 TRUMBALL RD","","GIRARD","OH","44420","AIM LEASING CO","8003219038","080000","","","","","N","","","","","","N","","A-00109844","","","","","","3","0877115","08"
"2006118838","04","3","997 VICTORY CHURCH RD","","FRANKLIN","PA","16323","HEPLER TRANSPORT INC","8144327234","999999","","","","","N","","","","","000323384","N","","A-00114015","","","","","","1","00692189","08"
"2006108218","05","1","101 S 5TH ST","","ST LOUISVILLE","KY","40202","NATIONAL CITY LEASING CORP","5025816424","080000","","","","","N","","","","","000297936","N","","","","","","","","2","00030237","08"
"2006058913","03","99","BOX 688","","INGOMAR","PA","15127","MCELROY PAING COMPANY","7249352080","","9","","","","Y","2","","","","","","","","","","","","","2","00000000","04"
"2006115541","02","8","70 CENTRAL AVE","","CINCINATTI","OH","47751","FIST STUDENT INC","9999999999","026001","","","","","N","","","","","","N","","A-00109523","","","","","","1","00354406","11"
"2006074345","99","1","3910 E HARRISON ST","","DECATUR","IL","62524","YELLOW TRANSPORTATION INC","3306591175","","","","","","N","","","","","","N","","","","","","","","1","","08"
"2006101605","03","3","17 CLINTON CT.","","PLAINSBORO","NJ","08536","KRV","6096101928","","","","","","N","","","","","","N","","","","","","","","2","00882508","04"
"2006114075","02","8","330 POPLAR STREET","","PITTSBURGH","PA","15223","ACTION TRANSIT ENTERPRISES INC","4123515800","029500","","","","","N","","","","","","N","","","","","","","","2","","11"
