"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","TYPE_OF_CARRIER","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2014118151","02","8","110 LENZNER COURT","","SEWICKLEY","PA","15143","TRANSPORTATION MANAGEMENT SVCS","4123219822","","","","","","N","","","","","","N","","A-00112590","","","","","","1","00583785","11"
"2014054284","02","8","345 6TH AVE 3RD FL.","","PITTSBURGH","PA","152222527","PORT AUTHORITY OF ALLEGHENY CO.","4124422000","","","","","","N","","","","","","N","","A-00976060","","","","","","1","","11"
"2014000026","02","0","57 NOBLE AVENUE","","PITTSBURGH","PA","15205","SHAW'S BEER DISTRIBUTOR","4129217495","","","","","","N","","","","","","N","","","","","","","","1","","02"
"2014073317","02","1","25145 BROADWAY AVENUE","","CLEVELAND","OH","44146","UNITED SURVEY INC.","4404397250","002590","","","","","N","","","","","","N","","","","","","","","1","00548479","03"
"2014049252","02","1","11250 BROOKPARK RD","","CLEVELAND","OH","44130","RYDER TRUCK RENTAL INC","6148010224","033000","","","","","N","","","","","","N","","","","","","","","1","00165420","03"
"2014010673","01","1","3100 E CARSON ST","","PITTSBURGH","PA","15203","FRANK B FUHRER WHOLESALE","4124888844","064000","","","","","N","","","","","","N","","","","","","","","4","02066069","08"
"2014123306","05","2","1768 MILEGROUND RD","","MORGANTOWN","WV","26505","BRUCETON PETROLEUM CO., INC.","3042916980","","","","","","N","","","","","000000000","N","","A-0000000","","","","","","2","00000000","08"
"2014076670","04","7","340 THOMPSON RUN RD","","PITTSBURGH","PA","15237","NORTH HILLS DISPOSAL INC","4128228441","073280","","","","","N","","","","","","N","","","","","","","","1","01651375","04"
"2014032766","03","99","5477 STEUBENVILLE PIKE","","MCKEES ROCKS","PA","15136","PHELPS NURSERY PGH WEST INC","4125590216","008000","","","","","N","","","","","","N","","","","","","","","1","02319884","08"
"2014032766","02","1","174 ONEIDA VALLEY RD","","BUTLER","PA","16001","HUNTER LEASING LLC","4122925592","","","","","","N","","","","","","N","","","","","","","","2","00348632","02"
"2014011740","02","1","28 FRONTIER DR","","GIBSONIA","PA","15044","TALON LOGISTICS","4129674541","080000","","","","","N","","","","","","N","","","","","","","","2","00030237","08"
